STD_ZIP5,LATITUDE,LONGITUDE
54498,44.992724366,-90.61429413
54499,44.824629889,-89.1503603
54501,45.649480514,-89.4081595
54511,45.686028554,-88.88288312
54512,46.114075606,-89.64291555
54513,45.549585189,-90.11298973
54514,46.026697573,-90.49142015
54515,45.524796066,-90.50500566
54517,46.3451,-90.8303
54519,46.041199608,-89.26831396
54520,45.548578668,-88.91345909
54521,45.913042605,-89.25162532
54524,45.853340398,-90.39624327
54525,46.4258,-90.2258
54526,45.489020114,-90.86502125
54527,46.172766993,-90.53132533
54529,45.679155244,-89.67713825
54530,45.52454541,-90.72357328
54531,45.771495003,-89.74422559
54534,46.41426836,-90.22723016
54537,45.5283138,-90.58235324
54538,45.961245058,-89.88871558
54539,45.798810922,-89.58635817
54540,46.141396189,-89.27872761
54541,45.558564281,-88.68748933
54542,45.95669924,-88.65950019
54545,46.149440158,-89.78883011
54546,46.309929019,-90.63153823
54547,46.186239017,-90.07282693
54548,45.869622644,-89.77199087
54550,46.428220989,-90.24476498
54552,45.933815022,-90.40257753
54554,46.048573678,-89.07067199
54555,45.699093952,-90.40619253
54556,45.539523192,-90.30141923
54557,46.180903938,-89.72389284
54558,45.916382208,-89.47709947
54559,46.489312343,-90.44134413
54560,46.038447113,-89.58889616
54561,46.085683417,-89.47930464
54562,45.800153568,-89.12253117
54563,45.48192352,-90.98630558
54564,45.603718363,-89.96467829
54565,46.357490083,-90.39152663
54566,45.436325748,-88.6765435
54568,45.913243135,-89.69541421
54601,43.796635795,-91.21675409
54603,43.84844968,-91.24942555
54610,44.354903733,-91.86003851
54611,44.441880773,-90.93454905
54612,44.251277098,-91.49305982
54613,44.070461276,-89.89468
54614,43.901134488,-90.97995761
54615,44.286553314,-90.84437143
54616,44.296183056,-91.23227383
54618,43.946048803,-90.29139393
54619,43.754362875,-90.77769634
54621,43.653009547,-91.08525724
54622,44.242922905,-91.82653774
54623,43.71395083,-91.03860183
54624,43.470835464,-91.16480599
54625,44.132601614,-91.52486898
54626,43.205963282,-91.03226
54627,44.172743703,-91.25114138
54628,43.364697593,-91.04238018
54629,44.138129748,-91.66934987
54630,44.084927061,-91.35979157
54631,43.299479113,-90.83440554
54632,43.568327012,-91.1737783
54634,43.621741754,-90.39602882
54635,44.398828587,-91.03312437
54636,43.976833174,-91.25654026
54637,43.887608909,-90.27198591
54638,43.791994566,-90.38475064
54639,43.596880366,-90.6544804
54642,44.133188239,-91.04257809
54644,44.030045252,-91.05787909
54646,44.036530792,-90.05929981
54648,43.834745778,-90.62557507
54650,43.897649326,-91.22640973
54651,43.715849333,-90.59034202
54652,43.453418294,-90.76249895
54653,43.879963721,-90.92747156
54655,43.38831059,-90.75709887
54656,43.955230238,-90.81618882
54657,43.181793707,-90.88804786
54658,43.68502337,-91.19466507
54659,44.303163628,-91.10685847
54660,43.98807057,-90.50174771
54661,44.029155655,-91.43941919
54664,43.503081359,-90.65883232
54665,43.553533867,-90.90016872
54666,44.122846231,-90.47185012
54667,43.652743811,-90.86161458
54669,43.899839367,-91.09088706
54670,43.835063041,-90.49995486
54701,44.781470131,-91.47936506
54703,44.828138414,-91.50470938
54720,44.80247411,-91.43842955
54721,44.623858145,-92.05421292
54722,44.701474186,-91.12362062
54723,44.608672643,-92.44328735
54724,45.102501791,-91.48693562
54725,45.057397805,-92.02488476
54726,44.953754613,-91.0285028
54727,44.953190545,-91.16835127
54728,45.319673323,-91.64994046
54729,44.932917032,-91.38123488
54730,44.997611504,-91.74990642
54731,45.358228266,-91.08584586
54732,45.150424488,-91.16652606
54733,45.285489311,-91.84626965
54734,45.06856946,-92.11917547
54736,44.623562654,-91.93466235
54737,44.71314097,-91.99759276
54738,44.622949246,-91.47643484
54739,44.880741685,-91.68330464
54740,44.759771393,-92.15468648
54741,44.596879278,-90.99722601
54742,44.769695528,-91.28837946
54745,45.255815686,-91.14091529
54746,44.535891528,-90.89331408
54747,44.377687804,-91.43873148
54748,45.063530126,-91.27181805
54749,44.952011961,-92.08948492
54750,44.616198832,-92.2972611
54751,44.875912255,-91.91868483
54754,44.433523559,-90.79421443
54755,44.593102831,-91.67349002
54756,44.453985316,-91.96311508
54757,45.238846504,-91.52676676
54758,44.560293737,-91.21693004
54759,44.463527236,-92.14016629
54761,44.625253065,-92.18642647
54762,45.245530086,-91.98682041
54763,45.174917099,-91.88913291
54766,45.32499152,-90.90183488
54767,44.831409667,-92.27173501
54768,44.962648097,-90.93323252
54769,44.508799972,-92.23052196
54770,44.557668123,-91.3821224
54771,44.958604925,-90.79407068
54772,45.076523902,-91.87925624
54773,44.377135031,-91.30411211
54801,45.846533215,-91.91692138
54805,45.414167289,-92.03173981
54806,46.57573968,-90.89386046
54810,45.456596669,-92.41674937
54812,45.399654608,-91.86034393
54813,45.641878033,-92.00883566
54814,46.865590359,-90.84732479
54817,45.664332177,-91.56579626
54819,45.452591005,-91.27889067
54820,46.60789284,-91.57461326
54821,46.225426808,-91.18690389
54822,45.402961961,-91.72640573
54824,45.466557075,-92.54432043
54826,45.497969265,-92.13695655
54827,46.8183635,-91.05664144
54828,45.870928616,-91.25692528
54829,45.547135139,-92.03491045
54830,46.001014798,-92.25240328
54832,46.277738311,-91.34139436
54835,45.678836273,-91.24416034
54836,46.487625545,-92.18199799
54837,45.670862817,-92.42237334
54838,46.250851231,-91.77814062
54839,46.367324198,-91.13183615
54840,45.759893045,-92.67011273
54841,45.60095225,-91.8162536
54843,46.003278019,-91.37780114
54844,46.807350779,-91.23989929
54845,45.806837234,-92.145815
54846,46.3451,-90.8303
54847,46.555588289,-91.39908993
54848,45.472028077,-91.10320295
54849,46.496464606,-91.72373695
54853,45.566180069,-92.44938222
54854,46.618590707,-91.69546492
54855,46.478090187,-90.87607737
54856,46.445038878,-91.06004287
54858,45.522033064,-92.4735129
54859,46.112777943,-91.8709235
54862,45.782105234,-91.13711612
54864,46.587241106,-91.804548
54865,46.752751945,-91.36522144
54867,45.77210932,-91.22471762
54868,45.50716067,-91.73177078
54870,45.717619837,-91.7462764
54871,45.74507045,-91.96553768
54872,45.783746093,-92.38559719
54873,46.35356974,-91.68695977
54874,46.579383849,-91.94405318
