ObjectID,STD_ZIP5,LATITUDE,LONGITUDE,USPS_ZIP_PREF_CITY_1221,USPS_ZIP_PREF_STATE_1221,x,y
27957,95443,39.0905,-122.571,GLENHAVEN,CA,-122.571,39.0905000000001
27958,95444,38.433696826,-122.8677654,GRATON,CA,-122.8677654,38.4336968260001
27959,95445,38.818060347,-123.5815081,GUALALA,CA,-123.5815081,38.818060347
27960,95446,38.503407578,-122.9966782,GUERNEVILLE,CA,-122.9966782,38.5034075780001
27961,95448,38.619108773,-122.8653994,HEALDSBURG,CA,-122.8653994,38.6191087730001
27962,95449,38.972486268,-123.1041799,HOPLAND,CA,-123.1041799,38.9724862680001
27963,95450,38.535714573,-123.2620274,JENNER,CA,-123.2620274,38.5357145730001
27964,95451,38.967128243,-122.774682,KELSEYVILLE,CA,-122.774682,38.967128243
27965,95452,38.417396026,-122.5584234,KENWOOD,CA,-122.5584234,38.4173960260001
27966,95453,39.056178491,-122.9149932,LAKEPORT,CA,-122.9149932,39.056178491
27967,95454,39.707482812,-123.563397,LAYTONVILLE,CA,-123.563397,39.7074828120001
27968,95456,39.266681912,-123.7548464,LITTLE RIVER,CA,-123.7548464,39.266681912
27969,95457,38.901342843,-122.6046186,LOWER LAKE,CA,-122.6046186,38.9013428430001
27970,95458,39.073541405,-122.782795,LUCERNE,CA,-122.782795,39.0735414050001
27971,95459,39.013563348,-123.6753788,MANCHESTER,CA,-123.6753788,39.013563348
27972,95460,39.322653881,-123.7878118,MENDOCINO,CA,-123.7878118,39.3226538810001
27973,95461,38.783300261,-122.6445723,MIDDLETOWN,CA,-122.6445723,38.7833002610001
27974,95462,38.470343994,-123.0160063,MONTE RIO,CA,-123.0160063,38.4703439940001
27975,95464,39.128373883,-122.8503797,NICE,CA,-122.8503797,39.1283738830001
27976,95465,38.39401473,-122.9735296,OCCIDENTAL,CA,-122.9735296,38.39401473
27977,95466,39.129231532,-123.5662424,PHILO,CA,-123.5662424,39.1292315320001
27978,95467,38.806248381,-122.5567275,HIDDEN VALLEY LAKE,CA,-122.5567275,38.806248381
27979,95468,38.901073278,-123.6351588,POINT ARENA,CA,-123.6351588,38.9010732780001
27980,95469,39.35005455,-123.0763929,POTTER VALLEY,CA,-123.0763929,39.35005455
27981,95470,39.273773061,-123.2094212,REDWOOD VALLEY,CA,-123.2094212,39.273773061
27982,95472,38.394088681,-122.840065,SEBASTOPOL,CA,-122.840065,38.394088681
27983,95476,38.296542577,-122.4738908,SONOMA,CA,-122.4738908,38.296542577
27984,95482,39.151784405,-123.2033866,UKIAH,CA,-123.2033866,39.1517844050001
27985,95485,39.160750311,-122.9097629,UPPER LAKE,CA,-122.9097629,39.1607503110001
27986,95488,39.716346205,-123.7782083,WESTPORT,CA,-123.7782083,39.716346205
27987,95490,39.419570367,-123.3591849,WILLITS,CA,-123.3591849,39.4195703670001
27988,95492,38.545130252,-122.807597,WINDSOR,CA,-122.807597,38.545130252
27989,95493,39.188173407,-122.967549,WITTER SPRINGS,CA,-122.967549,39.1881734070001
27990,95494,38.908816231,-123.253831,YORKVILLE,CA,-123.253831,38.9088162310001
27991,95501,40.792446287,-124.1559323,EUREKA,CA,-124.1559323,40.7924462870001
27992,95503,40.761558973,-124.1608869,EUREKA,CA,-124.1608869,40.761558973
27993,95511,40.126601364,-123.6655637,ALDERPOINT,CA,-123.6655637,40.1266013640001
27994,95514,40.392612614,-123.7258002,BLOCKSBURG,CA,-123.7258002,40.392612614
27995,95519,40.94530165,-124.0944051,MCKINLEYVILLE,CA,-124.0944051,40.94530165
27996,95521,40.876745648,-124.0838936,ARCATA,CA,-124.0838936,40.8767456480001
27997,95524,40.831238235,-124.0565945,BAYSIDE,CA,-124.0565945,40.8312382350001
27998,95525,40.961529229,-123.8751152,BLUE LAKE,CA,-123.8751152,40.9615292290001
27999,95526,40.460320972,-123.6191316,BRIDGEVILLE,CA,-123.6191316,40.460320972
28000,95527,40.833052,-123.37972,BURNT RANCH,CA,-123.37972,40.8330520000001
28001,95528,40.495521641,-123.9454426,CARLOTTA,CA,-123.9454426,40.495521641
28002,95531,41.780133777,-124.1799961,CRESCENT CITY,CA,-124.1799961,41.7801337770001
28003,95536,40.56663098,-124.2435302,FERNDALE,CA,-124.2435302,40.5666309800001
28004,95540,40.583235775,-124.1391644,FORTUNA,CA,-124.1391644,40.583235775
28005,95542,40.098680004,-123.8029538,GARBERVILLE,CA,-123.8029538,40.0986800040001
28006,95543,41.888243717,-123.8221911,GASQUET,CA,-123.8221911,41.8882437170001
28007,95546,41.298782906,-123.8434912,HOOPA,CA,-123.8434912,41.298782906
28008,95547,40.55011852,-124.0942738,HYDESVILLE,CA,-124.0942738,40.5501185200001
28009,95548,41.563441088,-124.0352676,KLAMATH,CA,-124.0352676,41.563441088
28010,95549,40.750344674,-123.9891071,KNEELAND,CA,-123.9891071,40.7503446740001
28011,95550,40.791564467,-123.8885285,KORBEL,CA,-123.8885285,40.7915644670001
28012,95551,40.67124092,-124.232088,LOLETA,CA,-124.232088,40.6712409200001
28013,95552,40.162603354,-123.2151687,MAD RIVER,CA,-123.2151687,40.1626033540001
28014,95554,40.257943785,-123.7716457,MYERS FLAT,CA,-123.7716457,40.2579437850001
28015,95558,40.324179543,-124.2881047,PETROLIA,CA,-124.2881047,40.3241795430001
28016,95560,40.12318725,-123.8713976,REDWAY,CA,-123.8713976,40.1231872500001
28017,95562,40.499479323,-124.1057102,RIO DELL,CA,-124.1057102,40.4994793230001
28018,95564,40.787962542,-124.2017066,SAMOA,CA,-124.2017066,40.7879625420001
28019,95565,40.445514758,-124.0198781,SCOTIA,CA,-124.0198781,40.4455147580001
28020,95567,41.934244648,-124.1673451,SMITH RIVER,CA,-124.1673451,41.9342446480001
28021,95568,41.70745467,-123.3609964,SOMES BAR,CA,-123.3609964,41.7074546700001
28022,95569,40.403952475,-123.9219216,REDCREST,CA,-123.9219216,40.403952475
28023,95570,41.075521322,-124.1252784,TRINIDAD,CA,-124.1252784,41.075521322
28024,95573,41.008109,-123.636607,WILLOW CREEK,CA,-123.636607,41.008109
28025,95585,39.881655583,-123.7183065,LEGGETT,CA,-123.7183065,39.8816555830001
28026,95587,39.89195675,-123.72512,PIERCY,CA,-123.72512,39.8919567500001
28027,95589,40.039359344,-124.04611,WHITETHORN,CA,-124.04611,40.039359344
28028,95595,40.073246944,-123.4203467,ZENIA,CA,-123.4203467,40.0732469440001
28029,95602,38.987551649,-121.0885084,AUBURN,CA,-121.0885084,38.9875516490001
28030,95603,38.909530345,-121.0807907,AUBURN,CA,-121.0807907,38.9095303450001
28031,95605,38.592700372,-121.5257087,WEST SACRAMENTO,CA,-121.5257087,38.592700372
28032,95606,38.791804364,-122.1791368,BROOKS,CA,-122.1791368,38.791804364
28033,95607,38.721241585,-122.0897991,CAPAY,CA,-122.0897991,38.721241585
28034,95608,38.629377464,-121.3308524,CARMICHAEL,CA,-121.3308524,38.6293774640001
28035,95610,38.692163432,-121.2714545,CITRUS HEIGHTS,CA,-121.2714545,38.692163432
28036,95612,38.401557829,-121.5579743,CLARKSBURG,CA,-121.5579743,38.4015578290001
28037,95614,38.898329015,-120.9772978,COOL,CA,-120.9772978,38.8983290150001
28038,95615,38.313910852,-121.5589561,COURTLAND,CA,-121.5589561,38.313910852
28039,95616,38.555830766,-121.7604225,DAVIS,CA,-121.7604225,38.555830766
28040,95618,38.551784923,-121.7124289,DAVIS,CA,-121.7124289,38.5517849230001
28041,95619,38.687083145,-120.8160235,DIAMOND SPRINGS,CA,-120.8160235,38.687083145
28042,95620,38.447517653,-121.8299669,DIXON,CA,-121.8299669,38.447517653
28043,95621,38.694145672,-121.3086392,CITRUS HEIGHTS,CA,-121.3086392,38.694145672
28044,95623,38.646447463,-120.851485,EL DORADO,CA,-120.851485,38.6464474630001
28045,95624,38.423748421,-121.3644283,ELK GROVE,CA,-121.3644283,38.423748421
28046,95626,38.720551388,-121.437991,ELVERTA,CA,-121.437991,38.720551388
28047,95627,38.693325449,-122.0245288,ESPARTO,CA,-122.0245288,38.693325449
